,peak_date,peak_value,start,end,smoothed_peak_date
0,,,2000-01-21 17:00:00,2000-01-25 02:00:00,
1,2000-02-14 10:00:00,681.0,2000-02-11 16:00:00,2000-02-16 08:00:00,2000-02-14 00:00:00
2,2000-02-25 07:00:00,781.0,2000-02-21 05:00:00,2000-03-02 03:00:00,2000-02-25 16:00:00
3,,,2000-03-18 02:00:00,2000-03-21 12:00:00,
4,,,2000-03-28 19:00:00,2000-04-03 00:00:00,
5,2000-04-07 09:00:00,626.0,2000-04-06 07:00:00,2000-04-10 23:00:00,2000-04-08 12:00:00
6,2000-04-24 16:00:00,559.0,2000-04-18 02:00:00,2000-04-26 13:00:00,2000-04-20 22:00:00
7,2000-05-02 12:00:00,812.0,2000-04-29 12:00:00,2000-05-08 00:00:00,2000-05-02 19:00:00
8,2000-05-18 03:00:00,596.0,2000-05-13 17:00:00,2000-05-20 11:00:00,2000-05-18 14:00:00
9,2000-05-24 13:00:00,684.0,2000-05-22 07:00:00,2000-05-27 10:00:00,2000-05-24 10:00:00
10,2000-06-08 18:00:00,775.0,2000-06-04 22:00:00,2000-06-14 19:00:00,2000-06-09 00:00:00
11,,,2000-06-17 09:00:00,2000-06-20 17:00:00,
12,2000-06-23 21:00:00,592.0,2000-06-22 13:00:00,2000-06-29 14:00:00,2000-06-24 15:00:00
13,2000-07-04 23:00:00,468.0,2000-07-01 09:00:00,2000-07-07 07:00:00,2000-07-05 18:00:00
14,2000-07-15 21:00:00,1107.0,2000-07-11 02:00:00,2000-07-21 08:00:00,2000-07-15 23:00:00
15,,,2000-07-22 15:00:00,2000-08-01 13:00:00,
16,2000-08-12 04:00:00,672.0,2000-08-10 13:00:00,2000-08-16 09:00:00,2000-08-12 23:00:00
17,2000-08-29 18:00:00,620.0,2000-08-27 21:00:00,2000-09-03 13:00:00,2000-08-30 04:00:00
18,,,2000-09-07 12:00:00,2000-09-12 10:00:00,
19,2000-09-18 00:00:00,840.0,2000-09-16 17:00:00,2000-09-22 00:00:00,2000-09-18 17:00:00
20,2000-10-05 14:00:00,531.0,2000-10-03 10:00:00,2000-10-07 11:00:00,2000-10-05 18:00:00
21,2000-10-16 03:00:00,585.0,2000-10-13 16:00:00,2000-10-20 06:00:00,2000-10-16 13:00:00
22,,,2000-10-27 21:00:00,2000-10-31 22:00:00,
23,2000-11-10 07:00:00,908.0,2000-11-05 04:00:00,2000-11-14 19:00:00,2000-11-11 07:00:00
24,2000-11-27 10:00:00,633.0,2000-11-25 12:00:00,2000-12-01 10:00:00,2000-11-27 22:00:00
25,,,2000-12-21 03:00:00,2000-12-30 21:00:00,
26,2001-01-23 12:00:00,549.0,2001-01-21 21:00:00,2001-01-26 07:00:00,2001-01-23 16:00:00
27,2001-03-06 00:00:00,579.0,2001-02-27 20:00:00,2001-03-11 21:00:00,2001-03-06 07:00:00
28,,,2001-03-18 17:00:00,2001-03-24 00:00:00,
29,,,2001-03-26 20:00:00,2001-04-03 15:00:00,
30,2001-04-13 10:00:00,833.0,2001-04-03 16:00:00,2001-04-16 20:00:00,2001-04-13 09:00:00
31,,,2001-04-17 12:00:00,2001-04-25 03:00:00,
32,2001-04-28 06:00:00,724.0,2001-04-26 06:00:00,2001-05-01 05:00:00,2001-04-28 23:00:00
33,,,2001-05-02 11:00:00,2001-05-06 10:00:00,
34,2001-05-12 16:00:00,674.0,2001-05-07 19:00:00,2001-05-19 00:00:00,2001-05-13 14:00:00
35,2001-05-27 16:00:00,587.0,2001-05-23 19:00:00,2001-05-31 14:00:00,2001-05-25 18:00:00
36,2001-06-10 04:00:00,631.0,2001-06-07 18:00:00,2001-06-12 22:00:00,2001-06-10 10:00:00
37,2001-06-20 04:00:00,781.0,2001-06-18 23:00:00,2001-06-28 17:00:00,2001-06-20 16:00:00
38,2001-07-06 22:00:00,476.0,2001-07-04 12:00:00,2001-07-11 04:00:00,2001-07-07 16:00:00
39,2001-07-18 04:00:00,664.0,2001-07-13 17:00:00,2001-07-21 10:00:00,2001-07-18 14:00:00
40,,,2001-08-02 11:00:00,2001-08-05 14:00:00,
41,2001-08-22 15:00:00,648.0,2001-08-15 05:00:00,2001-08-24 20:00:00,2001-08-22 14:00:00
42,2001-08-28 04:00:00,576.0,2001-08-26 23:00:00,2001-08-31 10:00:00,2001-08-28 15:00:00
43,2001-09-04 03:00:00,552.0,2001-09-01 13:00:00,2001-09-06 01:00:00,2001-09-04 15:00:00
44,2001-09-15 15:00:00,604.0,2001-09-13 18:00:00,2001-09-19 09:00:00,2001-09-16 01:00:00
45,2001-09-29 12:00:00,694.0,2001-09-23 10:00:00,2001-10-05 22:00:00,2001-09-29 13:00:00
46,2001-10-12 04:00:00,572.0,2001-10-09 07:00:00,2001-10-15 09:00:00,2001-10-12 14:00:00
47,2001-10-22 01:00:00,677.0,2001-10-20 19:00:00,2001-10-25 15:00:00,2001-10-22 15:00:00
48,,,2001-10-26 03:00:00,2001-11-04 12:00:00,
49,2001-11-06 21:00:00,729.0,2001-11-05 13:00:00,2001-11-11 20:00:00,2001-11-07 12:00:00
50,2001-11-24 14:00:00,1040.0,2001-11-19 22:00:00,2001-11-28 01:00:00,2001-11-25 01:00:00
51,2001-12-31 00:00:00,648.0,2001-12-28 00:00:00,2002-01-02 23:00:00,2001-12-31 12:00:00
52,2002-03-05 11:00:00,703.0,2002-02-28 17:00:00,2002-03-09 14:00:00,2002-03-06 06:00:00
53,2002-03-20 15:00:00,576.0,2002-03-19 05:00:00,2002-03-27 22:00:00,2002-03-26 10:00:00
54,2002-04-11 13:00:00,504.0,2002-04-11 05:00:00,2002-04-14 10:00:00,2002-04-12 10:00:00
55,2002-04-19 09:00:00,670.0,2002-04-17 07:00:00,2002-04-27 16:00:00,2002-04-20 00:00:00
56,2002-05-12 13:00:00,524.0,2002-05-11 03:00:00,2002-05-15 11:00:00,2002-05-13 00:00:00
57,2002-05-23 16:00:00,872.0,2002-05-20 10:00:00,2002-05-25 18:00:00,2002-05-24 04:00:00
58,2002-07-20 04:00:00,922.0,2002-07-18 04:00:00,2002-07-23 23:00:00,2002-07-20 12:00:00
59,,,2002-07-30 22:00:00,2002-08-06 02:00:00,
60,2002-08-15 22:00:00,624.0,2002-08-10 14:00:00,2002-08-21 22:00:00,2002-08-16 01:00:00
61,2002-08-29 10:00:00,502.0,2002-08-27 00:00:00,2002-08-30 16:00:00,2002-08-28 22:00:00
62,2002-09-07 18:00:00,550.0,2002-09-07 09:00:00,2002-09-14 11:00:00,2002-09-12 18:00:00
63,2002-09-19 17:00:00,746.0,2002-09-16 15:00:00,2002-09-21 19:00:00,2002-09-19 11:00:00
64,2002-10-03 00:00:00,517.0,2002-09-30 20:00:00,2002-10-07 03:00:00,2002-10-03 05:00:00
65,2002-11-21 13:00:00,728.0,2002-11-17 10:00:00,2002-11-24 20:00:00,2002-11-22 07:00:00
66,2002-12-28 05:00:00,773.0,2002-12-17 18:00:00,2002-12-31 17:00:00,2002-12-28 09:00:00
67,2003-01-25 05:00:00,777.0,2003-01-19 08:00:00,2003-01-28 14:00:00,2003-01-25 06:00:00
68,2003-02-01 17:00:00,824.0,2003-01-31 00:00:00,2003-02-07 20:00:00,2003-02-04 23:00:00
69,2003-02-18 05:00:00,697.0,2003-02-14 19:00:00,2003-02-24 14:00:00,2003-02-17 19:00:00
70,2003-03-18 10:00:00,833.0,2003-03-14 06:00:00,2003-03-24 09:00:00,2003-03-18 11:00:00
71,2003-05-09 09:00:00,888.0,2003-05-05 14:00:00,2003-05-12 11:00:00,2003-05-08 18:00:00
72,2003-06-03 19:00:00,858.0,2003-05-27 00:00:00,2003-06-07 07:00:00,2003-06-03 17:00:00
73,,,2003-06-14 20:00:00,2003-06-20 08:00:00,
74,,,2003-07-22 14:00:00,2003-07-26 16:00:00,
75,2003-07-31 09:00:00,827.0,2003-07-26 18:00:00,2003-08-06 02:00:00,2003-07-31 18:00:00
76,,,2003-08-15 02:00:00,2003-08-26 05:00:00,
77,2003-10-22 00:00:00,744.0,2003-10-14 22:00:00,2003-11-02 21:00:00,2003-10-21 10:00:00
78,,,2003-11-19 10:00:00,2003-11-23 08:00:00,
79,2004-01-07 06:00:00,739.0,2003-12-31 18:00:00,2004-01-15 20:00:00,2004-01-07 00:00:00
80,,,2004-01-21 08:00:00,2004-01-27 04:00:00,
81,,,2004-02-16 18:00:00,2004-02-20 16:00:00,
82,2004-04-06 14:00:00,610.0,2004-04-03 14:00:00,2004-04-09 19:00:00,2004-04-07 02:00:00
83,2004-04-26 00:00:00,549.0,2004-04-23 14:00:00,2004-05-01 12:00:00,2004-04-25 19:00:00
84,2004-05-06 00:00:00,616.0,2004-05-01 15:00:00,2004-05-10 18:00:00,2004-05-06 20:00:00
85,2004-07-27 01:00:00,1072.0,2004-07-22 11:00:00,2004-07-30 12:00:00,2004-07-27 09:00:00
86,,,2004-07-31 09:00:00,2004-08-04 04:00:00,
87,2004-09-01 04:00:00,512.0,2004-08-26 22:00:00,2004-09-03 16:00:00,2004-09-01 14:00:00
88,2004-09-14 10:00:00,610.0,2004-09-13 15:00:00,2004-09-20 00:00:00,2004-09-15 17:00:00
89,2004-11-09 22:00:00,824.0,2004-11-07 13:00:00,2004-11-14 04:00:00,2004-11-09 22:00:00
90,2004-12-11 17:00:00,565.0,2004-12-06 07:00:00,2004-12-13 19:00:00,2004-12-07 21:00:00
91,,,2004-12-26 16:00:00,2004-12-31 02:00:00,
92,,,2005-01-06 15:00:00,2005-01-11 18:00:00,
93,2005-01-18 07:00:00,1154.0,2005-01-15 02:00:00,2005-01-25 02:00:00,2005-01-19 08:00:00
94,2005-01-31 12:00:00,672.0,2005-01-29 14:00:00,2005-02-03 22:00:00,2005-01-31 12:00:00
95,2005-02-18 17:00:00,587.0,2005-02-17 10:00:00,2005-02-25 19:00:00,2005-02-19 06:00:00
96,2005-05-15 09:00:00,985.0,2005-05-10 13:00:00,2005-05-24 02:00:00,2005-05-15 19:00:00
97,2005-05-29 19:00:00,542.0,2005-05-29 03:00:00,2005-06-01 05:00:00,2005-05-30 15:00:00
98,2005-06-16 20:00:00,692.0,2005-06-12 15:00:00,2005-06-19 19:00:00,2005-06-17 03:00:00
99,2005-07-13 16:00:00,620.0,2005-07-10 10:00:00,2005-07-15 04:00:00,2005-07-13 16:00:00
100,2005-07-22 01:00:00,626.0,2005-07-15 05:00:00,2005-07-24 05:00:00,2005-07-22 02:00:00
101,2005-08-07 05:00:00,722.0,2005-08-05 16:00:00,2005-08-12 11:00:00,2005-08-07 14:00:00
102,2005-08-24 13:00:00,718.0,2005-08-23 11:00:00,2005-08-26 22:00:00,2005-08-25 07:00:00
103,2005-09-04 14:00:00,764.0,2005-09-01 15:00:00,2005-09-06 06:00:00,2005-09-04 04:00:00
104,2005-09-11 06:00:00,1127.0,2005-09-09 17:00:00,2005-09-18 22:00:00,2005-09-12 01:00:00
105,,,2005-09-19 18:00:00,2005-09-23 18:00:00,
106,2005-11-04 12:00:00,732.0,2005-10-31 02:00:00,2005-11-09 02:00:00,2005-11-05 04:00:00
107,2005-12-29 03:00:00,731.0,2005-12-27 01:00:00,2006-01-02 13:00:00,2005-12-29 10:00:00
108,,,2006-02-04 20:00:00,2006-02-08 12:00:00,
109,2006-04-15 14:00:00,679.0,2006-04-11 21:00:00,2006-04-19 09:00:00,2006-04-15 22:00:00
110,2006-07-12 20:00:00,530.0,2006-07-10 21:00:00,2006-07-15 10:00:00,2006-07-13 02:00:00
111,2006-08-22 18:00:00,505.0,2006-08-19 23:00:00,2006-08-24 16:00:00,2006-08-22 20:00:00
