,peak_date,peak_value,start,end,smoothed_peak_date,cme_flag
0,2000-01-12 06:00:00,603.0,2000-01-11 05:00:00,2000-01-15 07:00:00,2000-01-12 23:00:00,False
1,2000-01-28 14:00:00,765.0,2000-01-27 09:00:00,2000-02-02 16:00:00,2000-01-29 13:00:00,False
2,2000-02-06 18:00:00,649.0,2000-02-05 20:00:00,2000-02-09 15:00:00,2000-02-07 13:00:00,False
3,2000-02-14 10:00:00,681.0,2000-02-11 16:00:00,2000-02-16 08:00:00,2000-02-14 00:00:00,True
4,2000-02-25 07:00:00,781.0,2000-02-21 05:00:00,2000-03-02 03:00:00,2000-02-25 16:00:00,True
5,2000-03-08 12:00:00,471.0,2000-03-06 06:00:00,2000-03-09 22:00:00,2000-03-07 23:00:00,False
6,2000-03-24 11:00:00,727.0,2000-03-22 04:00:00,2000-03-27 14:00:00,2000-03-24 18:00:00,False
7,2000-04-07 09:00:00,626.0,2000-04-06 07:00:00,2000-04-10 23:00:00,2000-04-08 12:00:00,True
8,2000-04-24 16:00:00,559.0,2000-04-18 02:00:00,2000-04-26 13:00:00,2000-04-20 22:00:00,True
9,2000-05-02 12:00:00,812.0,2000-04-29 12:00:00,2000-05-08 00:00:00,2000-05-02 19:00:00,True
10,2000-05-18 03:00:00,596.0,2000-05-13 17:00:00,2000-05-20 11:00:00,2000-05-18 14:00:00,True
11,2000-05-24 13:00:00,684.0,2000-05-22 07:00:00,2000-05-27 10:00:00,2000-05-24 10:00:00,True
12,2000-05-30 17:00:00,646.0,2000-05-29 19:00:00,2000-06-01 19:00:00,2000-05-31 04:00:00,False
13,2000-06-08 18:00:00,775.0,2000-06-04 22:00:00,2000-06-14 19:00:00,2000-06-09 00:00:00,True
14,2000-06-15 16:00:00,682.0,2000-06-14 20:00:00,2000-06-16 21:00:00,2000-06-15 22:00:00,False
15,2000-06-23 21:00:00,592.0,2000-06-22 13:00:00,2000-06-29 14:00:00,2000-06-24 15:00:00,True
16,2000-07-04 23:00:00,468.0,2000-07-01 09:00:00,2000-07-07 07:00:00,2000-07-05 18:00:00,True
17,2000-07-15 21:00:00,1107.0,2000-07-11 02:00:00,2000-07-21 08:00:00,2000-07-15 23:00:00,True
18,2000-08-05 11:00:00,581.0,2000-08-03 12:00:00,2000-08-07 20:00:00,2000-08-06 00:00:00,False
19,2000-08-12 04:00:00,672.0,2000-08-10 13:00:00,2000-08-16 09:00:00,2000-08-12 23:00:00,True
20,2000-08-29 18:00:00,620.0,2000-08-27 21:00:00,2000-09-03 13:00:00,2000-08-30 04:00:00,True
21,2000-09-18 00:00:00,840.0,2000-09-16 17:00:00,2000-09-22 00:00:00,2000-09-18 17:00:00,True
22,2000-09-26 09:00:00,596.0,2000-09-24 21:00:00,2000-09-28 09:00:00,2000-09-26 16:00:00,False
23,2000-10-05 14:00:00,531.0,2000-10-03 10:00:00,2000-10-07 11:00:00,2000-10-05 18:00:00,True
24,2000-10-16 03:00:00,585.0,2000-10-13 16:00:00,2000-10-20 06:00:00,2000-10-16 13:00:00,True
25,2000-10-23 10:00:00,565.0,2000-10-22 03:00:00,2000-10-24 16:00:00,2000-10-23 09:00:00,False
26,2000-11-10 07:00:00,908.0,2000-11-05 04:00:00,2000-11-14 19:00:00,2000-11-11 07:00:00,True
27,2000-11-27 10:00:00,633.0,2000-11-25 12:00:00,2000-12-01 10:00:00,2000-11-27 22:00:00,True
28,2000-12-10 06:00:00,679.0,2000-12-07 13:00:00,2000-12-12 19:00:00,2000-12-09 21:00:00,False
29,2000-12-26 07:00:00,447.0,2000-12-23 00:00:00,2000-12-30 21:00:00,2000-12-27 01:00:00,True
30,2001-01-11 09:00:00,474.0,2001-01-03 18:00:00,2001-01-15 13:00:00,2001-01-11 12:00:00,False
31,2001-01-23 12:00:00,549.0,2001-01-21 21:00:00,2001-01-26 07:00:00,2001-01-23 16:00:00,True
32,2001-01-29 19:00:00,467.0,2001-01-29 00:00:00,2001-02-03 07:00:00,2001-01-31 00:00:00,False
33,2001-02-07 03:00:00,520.0,2001-02-06 21:00:00,2001-02-09 07:00:00,2001-02-07 19:00:00,False
34,2001-02-14 23:00:00,589.0,2001-02-09 08:00:00,2001-02-17 17:00:00,2001-02-14 23:00:00,False
35,2001-03-06 00:00:00,579.0,2001-02-27 20:00:00,2001-03-11 21:00:00,2001-03-06 07:00:00,True
36,2001-04-01 05:00:00,822.0,2001-03-28 17:00:00,2001-04-03 15:00:00,2001-04-01 09:00:00,True
37,2001-04-13 10:00:00,833.0,2001-04-03 16:00:00,2001-04-16 20:00:00,2001-04-13 09:00:00,True
38,2001-04-28 06:00:00,724.0,2001-04-26 06:00:00,2001-05-01 05:00:00,2001-04-28 23:00:00,True
39,2001-05-12 16:00:00,674.0,2001-05-07 19:00:00,2001-05-19 00:00:00,2001-05-13 14:00:00,True
40,2001-05-27 16:00:00,587.0,2001-05-23 19:00:00,2001-05-31 14:00:00,2001-05-25 18:00:00,True
41,2001-06-02 14:00:00,574.0,2001-06-02 01:00:00,2001-06-05 04:00:00,2001-06-03 10:00:00,False
42,2001-06-10 04:00:00,631.0,2001-06-07 18:00:00,2001-06-12 22:00:00,2001-06-10 10:00:00,True
43,2001-06-20 04:00:00,781.0,2001-06-18 23:00:00,2001-06-28 17:00:00,2001-06-20 16:00:00,True
44,2001-07-06 22:00:00,476.0,2001-07-04 12:00:00,2001-07-11 04:00:00,2001-07-07 16:00:00,True
