,peak_date,peak_value,start,end,smoothed_peak_date
0,2000-01-12 06:00:00,603.0,2000-01-11 05:00:00,2000-01-15 07:00:00,2000-01-12 23:00:00
1,2000-01-28 14:00:00,765.0,2000-01-27 09:00:00,2000-02-02 16:00:00,2000-01-29 13:00:00
2,2000-02-06 18:00:00,649.0,2000-02-05 20:00:00,2000-02-09 15:00:00,2000-02-07 13:00:00
3,2000-03-08 12:00:00,471.0,2000-03-06 06:00:00,2000-03-09 22:00:00,2000-03-07 23:00:00
4,2000-03-24 11:00:00,727.0,2000-03-22 04:00:00,2000-03-27 14:00:00,2000-03-24 18:00:00
5,2000-05-30 17:00:00,646.0,2000-05-29 19:00:00,2000-06-01 19:00:00,2000-05-31 04:00:00
6,2000-06-15 16:00:00,682.0,2000-06-14 20:00:00,2000-06-16 21:00:00,2000-06-15 22:00:00
7,2000-08-05 11:00:00,581.0,2000-08-03 12:00:00,2000-08-07 20:00:00,2000-08-06 00:00:00
8,2000-09-26 09:00:00,596.0,2000-09-24 21:00:00,2000-09-28 09:00:00,2000-09-26 16:00:00
9,2000-10-23 10:00:00,565.0,2000-10-22 03:00:00,2000-10-24 16:00:00,2000-10-23 09:00:00
10,2000-12-10 06:00:00,679.0,2000-12-07 13:00:00,2000-12-12 19:00:00,2000-12-09 21:00:00
11,2001-01-11 09:00:00,474.0,2001-01-03 18:00:00,2001-01-15 13:00:00,2001-01-11 12:00:00
12,2001-01-29 19:00:00,467.0,2001-01-29 00:00:00,2001-02-03 07:00:00,2001-01-31 00:00:00
13,2001-02-07 03:00:00,520.0,2001-02-06 21:00:00,2001-02-09 07:00:00,2001-02-07 19:00:00
14,2001-02-14 23:00:00,589.0,2001-02-09 08:00:00,2001-02-17 17:00:00,2001-02-14 23:00:00
15,2001-06-02 14:00:00,574.0,2001-06-02 01:00:00,2001-06-05 04:00:00,2001-06-03 10:00:00
